,user,text,favorite_count,retweet_count,create_at
110,WilliamsRuto,"Targeted focus will boost investment through increased capital flows, make them more robust and create more opportunities for our people. https://t.co/gOLBVjYzMx",856,109,2022-12-17 04:52:05+00:00
111,WilliamsRuto,"We are intentionally re-energizing capital markets to make them more efficient, effective and vibrant in recognition that they power our economic prosperity. https://t.co/Jmn72BKseI",2755,333,2022-12-17 04:52:03+00:00
112,WilliamsRuto,"During the Executive Business Roundtable and Investment Forum in Washington, D.C, United States of America. https://t.co/Pe2hyJ80Qp",483,63,2022-12-17 00:27:59+00:00
113,WilliamsRuto,The U.S.- Kenya trade is narrow and concentrated in a few products. It is time we diversified the range and expand the volumes for our economic growth. The U.S.-Africa Summit presents a window for the two countries’ to exploit untapped investment potential. https://t.co/rkgScRpP9c,1118,146,2022-12-17 00:27:57+00:00
114,WilliamsRuto,"During a meeting with a team led by Mr. Scott Nathan, Chief Executive Officer, the International Development Finance Corporation, Washington D.C, USA. https://t.co/AyAfoljqjf",446,56,2022-12-16 18:16:30+00:00
115,WilliamsRuto,The Government will invest in infrastructure at all levels to create a conducive environment for entrepreneurship to flourish. https://t.co/53YA1gyPMN,534,79,2022-12-16 18:11:22+00:00
116,WilliamsRuto,Kenya is keen to tap into the resources available at the U.S. International Development Finance Corporation to grow businesses and develop the country. https://t.co/wHa3mhueQn,2158,226,2022-12-16 18:11:20+00:00
117,WilliamsRuto,"With United States of America President Joe Biden at the US-Africa Summit, Washington Convention Centre, Washington DC. https://t.co/TjZK3Ixaho",802,117,2022-12-16 08:03:33+00:00
118,WilliamsRuto,The success of this partnership will provide the conditions necessary for the attainment of the Africa Agenda 2063. Kenya salutes African nations that make huge contributions and sacrifices in the global endeavour to eradicate the menace and related acts. https://t.co/s9UzCY3V8E,774,111,2022-12-16 08:03:31+00:00
119,WilliamsRuto,"We applaud the United States government for remaining dependable, committed and trusted partner for Africa in the effort to eliminate the terrorist footprint in the Horn, the Sahel, Central Africa and Southern regions of our continent. https://t.co/eDFkXGQu7S",2459,351,2022-12-16 08:03:28+00:00
120,WilliamsRuto,During a meeting with Kenyans living in the USA in Washington D.C. https://t.co/K8CDjhn63f,810,100,2022-12-16 05:14:41+00:00
121,WilliamsRuto,This contribution to our development is tremendous. We will promote and safeguard the interests of the Kenyan Community abroad for our mutual benefit. https://t.co/3uu7Oc76rc,713,91,2022-12-16 05:14:39+00:00
122,WilliamsRuto,The government recognizes the role played by Kenyans in diaspora to the economy. The remittances to families and interests back home have become the country’s biggest source of foreign exchange. https://t.co/ghPyGEeGqi,2016,214,2022-12-16 05:14:37+00:00
123,WilliamsRuto,"During the talks, the U.S. pledged to enhance economic partnership on several fronts such as health, security, agriculture and food security. Also discussed security in the region, especially Ethiopia, Somalia and DRC. https://t.co/MmBgw9nc1D",675,85,2022-12-16 03:10:02+00:00
124,WilliamsRuto,"Held talks with the U.S. Secretary of State @SecBlinken  who praised Kenya's growing democracy, entrenching the rule of law and independence of institutions of governance, Washington, D.C., United States of America. https://t.co/osTlDzBVwA",619,94,2022-12-16 03:10:00+00:00
125,WilliamsRuto,We are not going back on creating a democratic society guided by the rule of law and independence of constitutional institutions. Our commitment is firmly to the constitutional due process and the implementation of judicial orders. https://t.co/nHGv8Nmtjl,1392,158,2022-12-16 03:09:58+00:00
126,WilliamsRuto,"At @WhiteHouse in Washington, D.C. for the U.S.-Africa Leaders’ Dinner hosted by @POTUS https://t.co/9BKsrX2gxC",2744,377,2022-12-15 17:18:43+00:00
127,WilliamsRuto,"Kenya and the United States of America are united by their shared commitment to democracy, economic prosperity and regional peace. We will continue working together to expand our strategic partnership for the mutual benefit of the citizens of our countries. https://t.co/sQtsFiPwF6",5366,534,2022-12-15 17:18:28+00:00
128,WilliamsRuto,"In Washington, D.C., held discussion with Peter Carter, the Executive Vice President - External Affairs at the Delta Air Lines; talks focussed on building partnerships to make both airlines competitive and attractive. https://t.co/6xzFMwWuQo",671,119,2022-12-15 15:49:55+00:00
129,WilliamsRuto,We are dedicated to working on a restructuring plan that will make Kenya Airways exploit its full potential and turn it into a profitable venture. https://t.co/yqVcpEi1EM,2605,322,2022-12-15 15:49:53+00:00
130,WilliamsRuto,"Sought support on Kenya’s development priorities during an engagement with the World Bank President @DavidMalpassWBG in Washington, D.C., United States of America. https://t.co/IUeimS9fi5",368,77,2022-12-15 14:50:08+00:00
131,WilliamsRuto,Kenya acknowledges the World Bank and its critical role in financing our development needs.  We will keep engaging and tap into other innovative ways to get financing that will help mitigate the devastating effects of climate change. https://t.co/OsTMdMR8Ib,1261,200,2022-12-15 14:50:06+00:00
132,WilliamsRuto,"Discussed the security situation in Eastern DRC with colleagues @KagutaMuseveni (Uganda), @PaulKagame (Rwanda), @SuluhuSamia (Tanzania), João Lourenço (Angola) and @GeneralNeva (Burundi) in Washington, D.C., United States of America. https://t.co/Ym5UnrYnWI",959,178,2022-12-15 04:54:31+00:00
133,WilliamsRuto,It is in our interest as a region to find a lasting solution to the current instability in the Democratic Republic of the Congo. We cannot allow the situation to get worse. That is why we encourage dialogue and cessation of hostilities even as we push for a lasting solution. https://t.co/CSpsTxEwQD,2181,328,2022-12-15 04:54:24+00:00
134,WilliamsRuto,"At a roundtable of government, private sector, academia and innovators — a side event of the U.S.-Africa Summit — at the Arizona State University’s Thunderbird School of Global Management in Washington, D.C., United States of America. https://t.co/gDXYcNrVLA",558,90,2022-12-15 02:11:58+00:00
135,WilliamsRuto,We reiterate that Kenya is open for partnership and business. We invite U.S. tech firms — and other multinationals — to pursue the emerging investment prospects in our country’s Silicon Savannah for our shared prosperity. https://t.co/Qa5Nf9PIgs,1857,243,2022-12-15 02:11:56+00:00
136,WilliamsRuto,"During a meeting with the Chief Executive Officer of Visa Alfred F. Kelly Jr. in Washington, D.C., United States of America. https://t.co/q6davHCZxW",629,78,2022-12-14 21:22:19+00:00
137,WilliamsRuto,Kenya recognises the crucial role that Visa continues to play in powering Diaspora remittances and investment. We welcome the company’s interest in partnering with the Hustler Fund to facilitate faster access. https://t.co/RWKNQxsQSb,1891,254,2022-12-14 21:22:17+00:00
138,WilliamsRuto,"Met Djibouti President @IsmailOguelleh in Washington, D.C., United States of America; talks centred on the entry of Kenya Airways to Djibouti and the lifting of visa requirements for citizens of the two countries. https://t.co/AoPHaSGnZj",620,98,2022-12-14 18:07:18+00:00
139,WilliamsRuto,"The Kenya-Djibouti cooperation is the bedrock of our shared prosperity and regional stability. We look forward to redesigning our priorities, based on our common values, to further innovation and all-inclusive growth for the socio-economic success of our citizens. https://t.co/DWGqKTa7fK",1240,169,2022-12-14 18:07:16+00:00
